implementation,n_lane,egress_symbols_per_beat,ready_duty,burstiness,scv,mean_generation_batch_hits,rho_lane,cycles,warmup_cycles,effective_capacity,offered_transactions,delivered_transactions,dropped_transactions,mean_occupancy,max_occupancy,loss_probability
time_merger,4,1,1.0,0.5,9.0,5.0,0.189375,512,64,19,340,90,250,18.25,19,0.7352941176470589
time_merger,4,1,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.189375,512,64,19,337,90,248,17.361607142857142,19,0.7359050445103857
time_merger,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.189375,512,64,19,328,90,241,13.462053571428571,19,0.7347560975609756
time_merger,4,1,1.0,0.95,1000.0,760.9999999999986,0.189375,512,64,19,0,0,0,0.0,0,1e-12
time_merger,4,1,1.0,-0.25,0.36,1.0,0.22625,512,64,19,406,90,316,18.779017857142858,19,0.7783251231527094
time_merger,4,1,1.0,-0.1,0.6694214876033057,1.0,0.22625,512,64,19,406,90,316,18.779017857142858,19,0.7783251231527094
time_merger,4,1,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.22625,512,64,19,406,90,316,18.758928571428573,19,0.7783251231527094
time_merger,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.22625,512,64,19,407,90,317,18.709821428571427,19,0.7788697788697788
time_merger,4,1,1.0,0.35,4.313609467455622,2.656804733727811,0.22625,512,64,19,407,90,317,18.600446428571427,19,0.7788697788697788
time_merger,4,1,1.0,0.5,9.0,5.0,0.22625,512,64,19,405,90,316,18.337053571428573,19,0.7802469135802469
time_merger,4,1,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.22625,512,64,19,406,90,316,17.611607142857142,19,0.7783251231527094
time_merger,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.22625,512,64,19,410,90,320,14.493303571428571,19,0.7804878048780488
time_merger,4,1,1.0,0.95,1000.0,760.9999999999986,0.22625,512,64,19,0,0,0,0.0,0,1e-12
time_merger,4,1,1.0,-0.25,0.36,1.0,0.263125,512,64,19,471,90,381,18.799107142857142,19,0.8089171974522293
time_merger,4,1,1.0,-0.1,0.6694214876033057,1.0,0.263125,512,64,19,471,90,381,18.799107142857142,19,0.8089171974522293
time_merger,4,1,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.263125,512,64,19,472,90,382,18.787946428571427,19,0.809322033898305
time_merger,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.263125,512,64,19,471,90,381,18.725446428571427,19,0.8089171974522293
time_merger,4,1,1.0,0.35,4.313609467455622,2.656804733727811,0.263125,512,64,19,470,90,381,18.620535714285715,19,0.8106382978723404
time_merger,4,1,1.0,0.5,9.0,5.0,0.263125,512,64,19,470,90,381,18.419642857142858,19,0.8106382978723404
time_merger,4,1,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.263125,512,64,19,476,90,386,17.801339285714285,19,0.8109243697478992
time_merger,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.263125,512,64,19,492,90,398,14.964285714285714,19,0.8089430894308943
time_merger,4,1,1.0,0.95,1000.0,760.9999999999986,0.263125,512,64,19,0,0,0,0.0,0,1e-12
time_merger,4,1,1.0,-0.25,0.36,1.0,0.3,512,64,19,538,90,448,18.799107142857142,19,0.8327137546468402
