n_shd,skew_frames,skew_timestamp_ticks,skew_ns,aligned_poisson_mean,offered_poisson_mean,opq_effective_capacity,old_tree_depth,old_effective_capacity,opq_loss_rate,old_time_merger_loss_rate,loss_ratio_clipped,log10_opq_loss_rate,log10_old_time_merger_loss_rate,log10_loss_ratio_clipped
256,0.9833333333333333,4027.733333333333,32221.866666666665,694.784,926.3786666666666,256,2,32,0.4736551215917465,0.7154568901989683,1.5105017502917153,-0.3245377623448389,-0.1454165294971462,0.17912123284769266
256,1.0,4096.0,32768.0,706.5600000000001,942.08,256,2,32,0.4782608695652174,0.7160326086956522,1.497159090909091,-0.3203351508593678,-0.14506719912495222,0.17526795173441564
256,1.0166666666666666,4164.266666666666,33314.13333333333,718.336,957.7813333333334,256,2,32,0.4827156094084106,0.7165894511760513,1.4844961240310077,-0.31630865732315405,-0.14472958931776148,0.17157906800539258
256,1.0333333333333332,4232.533333333333,33860.26666666666,730.112,973.4826666666665,256,2,32,0.48702664796633943,0.7171283309957924,1.472462203023758,-0.31244727544221235,-0.144403119846498,0.1680441555957143
256,1.05,4300.8,34406.4,741.8880000000001,989.1840000000001,256,2,32,0.49120082815735,0.7176501035196688,1.4610115911485773,-0.30874090965218176,-0.144087248165594,0.16465366148658772
256,1.0666666666666667,4369.066666666667,34952.53333333333,753.6640000000001,1004.8853333333334,256,2,32,0.49524456521739135,0.718155570652174,1.4501028806584362,-0.30518028168350536,-0.14378146640215886,0.16139881528134653
256,1.0833333333333333,4437.333333333333,35498.666666666664,765.44,1020.5866666666666,256,2,32,0.4991638795986623,0.7186454849498329,1.4396984924623115,-0.30175684852302287,-0.14348529862932072,0.15827154989370212
256,1.1,4505.6,36044.8,777.2160000000001,1036.2880000000002,256,2,32,0.5029644268774703,0.7191205533596837,1.4297642436149312,-0.2984627301670216,-0.14319829839293197,0.1552644317740896
256,1.1166666666666667,4573.866666666667,36590.933333333334,788.9920000000001,1051.9893333333334,256,2,32,0.5066515249837767,0.7195814406229721,1.420268972142171,-0.2952906458161831,-0.14292004646458278,0.1523705993516003
256,1.1333333333333333,4642.133333333333,37137.066666666666,800.768,1067.6906666666666,256,2,32,0.5102301790281331,0.7200287723785167,1.4111842105263157,-0.2922338573730997,-0.1426501487971292,0.14958370857597048
256,1.15,4710.4,37683.2,812.544,1083.392,256,2,32,0.5137051039697542,0.7204631379962192,1.4024839006439742,-0.2892861192768536,-0.1423882346617487,0.14689788461510495
256,1.1666666666666667,4778.666666666667,38229.333333333336,824.3200000000002,1099.0933333333335,256,2,32,0.517080745341615,0.7208850931677019,1.394144144144144,-0.2864416338534922,-0.14213395494799405,0.14430767890549812
256,1.1833333333333333,4846.933333333333,38775.46666666667,836.0960000000001,1114.7946666666667,256,2,32,0.5203612982241275,0.721295162278016,1.3861429832303618,-0.2836950114815708,-0.14188698061044447,0.1418080308711263
256,1.2,4915.2,39321.6,847.8720000000001,1130.496,256,2,32,0.5235507246376812,0.7216938405797102,1.3784602076124568,-0.28104123497265104,-0.14164700124740978,0.13939423372524123
256,1.2166666666666666,4983.466666666666,39867.73333333333,859.648,1146.1973333333333,256,2,32,0.5266527695056582,0.7220815961882073,1.3710771840542832,-0.27847562765125955,-0.14141372379877382,0.13706190385248573
256,1.2333333333333334,5051.733333333334,40413.86666666667,871.4240000000001,1161.8986666666667,256,2,32,0.5296709753231493,0.7224588719153937,1.3639767054908485,-0.2759938246901482,-0.14118687135148497,0.1348069533386633
256,1.25,5120.0,40960.0,883.2,1177.6000000000001,256,2,32,0.5326086956521738,0.7228260869565217,1.3571428571428574,-0.27359174731704167,-0.14096618204245068,0.13262556527459105
256,1.2666666666666666,5188.266666666666,41506.13333333333,894.976,1193.3013333333333,256,2,32,0.5354691075514875,0.723183638443936,1.3505608974358974,-0.2712655795602789,-0.14075140804969344,0.1305141715105855
